"REPORT_ID","Unit No","No Of Cas","Veh Reg State","Unit Type","Veh Year","Direction Of Travel","Sex","Age","Lic State","Licence Class","Licence Type","Towing","Unit Movement","Number Occupants","Postcode","Rollover","Fire"
"2021-24-6/07/2022","02",0,"SA","RIGID TRUCK LGE GE 4.5T","2011","East","Male","047","SA","HR","Full","Not Towing","Straight Ahead","002","5171",,
"2021-25-6/07/2022","01",1,,"Pedal Cycle",,"South","Male","043",,,,,"Straight Ahead","001","5043","Y",
"2021-26-6/07/2022","01",0,"SA","Utility","2007","West","Female","023","SA","C ","Full","Not Towing","Swerving","001","5025","Y",
"2021-26-6/07/2022","02",0,,"Other Fixed Obstruction",,,,,,,,,,,,,
"2021-27-6/07/2022","01",0,"SA","Motor Cars - Sedan","2010","South West","Female","020","SA","C ","Provisional 1 ","Not Towing","Straight Ahead","001","5108",,
"2021-27-6/07/2022","02",0,,"Other Fixed Obstruction",,,,,,,,,,,,,
"2021-27-6/07/2022","03",0,,"Sign Post",,,,,,,,,,,,,
"2021-27-6/07/2022","04",0,,"Other Fixed Obstruction",,,,,,,,,,,,,
"2021-28-6/07/2022","01",1,"SA","Motor Cars - Sedan","2012","South","Female","023","SA","C ","Unlicenced","Not Towing","Right Turn","001","5127",,
"2021-28-6/07/2022","02",0,"SA","Utility","2010","North","Male","025","SA","C ","Full","Not Towing","Straight Ahead","002","5108",,
"2021-29-6/07/2022","01",0,"SA","Utility","2008","North West","Male","042","SA","C ","Full","Not Towing","U Turn","001","5108",,
"2021-29-6/07/2022","02",0,"SA","Motor Cars - Sedan","2005","South East","Female","060","SA","C ","Full","Not Towing","Straight Ahead","001","5051",,
"2021-30-6/07/2022","01",0,"SA","Utility","2010","North West","Male","044","SA","C ","Full","Not Towing","Straight Ahead","005","5085","Y",
"2021-31-6/07/2022","01",0,"SA","Motor Cars - Sedan","2006","West","Female","024","SA","C ","Full","Not Towing","Straight Ahead","001","5169",,
"2021-31-6/07/2022","02",0,"SA","Motor Cars - Sedan","2005","North East","Male","031","SA","C ","Full","Not Towing","Right Turn","001","5164",,
"2021-32-6/07/2022","01",0,"SA","Motor Cars - Sedan","2001","South West","Male","047","SA","C R ","Full","Not Towing","Straight Ahead","001","5271","Y",
"2021-33-6/07/2022","01",0,"SA","Motor Cars - Sedan","2016","South","Female","054","SA","C ","Full","Not Towing","Straight Ahead","001","5241",,
"2021-33-6/07/2022","02",1,"SA","Station Wagon","2011","North","Female","018","SA","C ","Provisional 2","Not Towing","Right Turn","001","5267",,
"2021-34-6/07/2022","01",0,"SA","Motor Cycle","2016","North","Male","019","SA","C R ","Provisional 2","Not Towing","Straight Ahead","001","5096",,
"2021-35-6/07/2022","01",0,"SA","Motor Cars - Sedan","2004","North","Male","032","SA","C ","Full","Not Towing","Straight Ahead","001","5084",,
"2021-35-6/07/2022","02",0,"SA","Station Wagon","2018","East","Male","034","O/S","C ","Full","Not Towing","Right Turn","002","5084",,
"2021-36-6/07/2022","01",2,"SA","Motor Cars - Sedan","2004","South","Male","060","SA","C ","Full","Not Towing","Straight Ahead","002","5086",,
"2021-36-6/07/2022","02",0,"SA","Motor Cars - Sedan","2008","West","Unknown","XXX","UNKNOWN","XX","Unknown","Unknown","Left Turn","001","XXXX",,
"2021-37-6/07/2022","01",0,"VIC","Station Wagon","2018","North West","Male","025","O/S","XX","Full","Not Towing","Entering Private Driveway","002","3043",,
"2021-37-6/07/2022","02",0,,"Tree",,,,,,,,,,,,,
"2021-38-6/07/2022","01",0,"SA","Utility","2011","South West","Male","017","SA","C ","Provisional 1 ","Not Towing","Straight Ahead","001","5353",,
"2021-39-6/07/2022","01",0,"SA","Motor Cars - Sedan","2012","South","Male","041","SA","C R ","Full","Not Towing","Straight Ahead","001","5042",,
"2021-39-6/07/2022","02",0,"SA","Motor Cars - Sedan","2004","North East","Male","034","SA","C ","Provisional 1 ","Not Towing","Straight Ahead","001","5095",,
"2021-40-6/07/2022","01",0,"SA","Motor Cars - Sedan","2004","South West","Male","026","SA","C ","Full","Not Towing","Straight Ahead","003","5162",,
"2021-40-6/07/2022","02",0,,"Other Fixed Obstruction",,,,,,,,,,,,,
"2021-41-6/07/2022","01",0,"SA","Motor Cars - Sedan","1996","West","Male","020","SA","C ","Full","Not Towing","Straight Ahead","001","5042",,
"2021-41-6/07/2022","02",0,"SA","Motor Cars - Sedan","2013","West","Male","057","SA","C ","Full","Not Towing","Straight Ahead","001","5159",,
"2021-41-6/07/2022","03",0,"SA","Motor Cars - Sedan","2006","West","Male","051","SA","C ","Full","Not Towing","Straight Ahead","001","5050",,
"2021-42-6/07/2022","01",1,"SA","Motor Cars - Sedan","2007","South East","Male","030","SA","C ","Full","Not Towing","Right Turn","001","5264",,
"2021-43-6/07/2022","01",0,"WA","Utility","1977","North West","Male","032","SA","C RD","Full","Not Towing","Straight Ahead","001","5034",,
"2021-43-6/07/2022","02",0,"SA","Motor Cars - Sedan","2016","South","Male","073","SA","C ","Full","Not Towing","Right Turn","002","5091",,
"2021-44-6/07/2022","01",0,"SA","Motor Cars - Sedan","2007","East","Male","024","SA","C ","Full","Not Towing","Straight Ahead","001","5073",,
"2021-44-6/07/2022","02",0,"SA","Motor Cars - Tourer","2014","East","Female","061","SA","C ","Full","Not Towing","Stopped on Carriageway","001","5066",,
"2021-44-6/07/2022","03",0,"SA","Motor Cars - Sedan","2013","East","Male","059","SA","C ","Full","Not Towing","Stopped on Carriageway","003","5073",,
"2021-45-6/07/2022","01",1,"SA","Motor Cycle","2011","South West","Male","069","SA","MRR ","Full","Not Towing","Straight Ahead","001","5173",,
"2021-45-6/07/2022","02",0,,"Guard Rail",,,,,,,,,,,,,
"2021-46-6/07/2022","01",0,"SA","Motor Cycle","2009","North West","Male","042","SA","C R ","Full","Not Towing","Swerving","001","5540","Y",
"2021-47-6/07/2022","01",0,"SA","Motor Cars - Sedan","2012","South West","Male","032","SA","C ","Full","Not Towing","Straight Ahead","002","5085",,
"2021-47-6/07/2022","02",0,"SA","Station Wagon","1990","North West","Male","022","SA","C ","Full","Not Towing","Right Turn","001","5083",,
"2021-48-6/07/2022","01",0,"SA","Station Wagon","2019","South West","Female","022","SA","C ","Full","Not Towing","Straight Ahead","001","5159",,
"2021-48-6/07/2022","02",0,"SA","Motor Cars - Sedan","2003","South West","Male","031","SA","C ","Full","Not Towing","Swerving","001","5042",,
"2021-48-6/07/2022","03",0,,"Pole - not Stobie",,,,,,,,,,,,,
"2021-49-6/07/2022","01",0,"SA","Motor Cars - Sedan","2012","East","Female","075","SA","C ","Full","Not Towing","Overtaking - on Right","001","5098",,
"2021-49-6/07/2022","02",0,"SA","Motor Cars - Sedan","2008","East","Unknown","XXX","UNKNOWN","XX","Unknown","Unknown","Right Turn","001","XXXX",,
"2021-50-6/07/2022","01",1,"SA","Motor Cycle","2013","North East","Male","028","SA","MRRD","Full","Not Towing","Straight Ahead","001","5163",,
"2021-50-6/07/2022","02",1,"SA","Motor Cars - Sedan","2006","South West","Male","025","SA","C ","Full","Not Towing","Straight Ahead","002","5045",,
"2021-51-6/07/2022","01",0,"SA","Motor Cars - Sedan","2008","North West","Male","028","SA","C ","Full","Not Towing","Left Turn","001","5070",,
"2021-51-6/07/2022","02",0,"SA","Panel Van","2003","North West","Male","073","SA","C ","Full","Not Towing","Swerving","001","5009",,
"2021-52-6/07/2022","01",0,"SA","Station Wagon","2010","South","Male","035","SA","C ","Full","Not Towing","Straight Ahead","001","5159",,
"2021-52-6/07/2022","02",0,"SA","Motor Cars - Sedan","2006","East","Male","082","SA","C ","Full","Not Towing","Right Turn","001","5041",,
"2021-53-6/07/2022","01",1,"SA","Motor Cycle","1989","East","Female","021","SA","RD","Learners","Not Towing","Straight Ahead","001","5043","Y",
"2021-54-6/07/2022","01",0,"SA","Motor Cars - Sedan","2003","North West","Female","020","SA","C ","Provisional 2","Not Towing","Leaving Private Driveway","001","5009",,
"2021-54-6/07/2022","02",1,,"Pedal Cycle",,"North East","Female","038",,,,,"Straight Ahead","001","5016",,
"2021-55-6/07/2022","01",1,"SA","Motor Cars - Sedan","2003","North East","Female","018","SA","C ","Provisional 2","Not Towing","Straight Ahead","001","5271","Y",
"2021-55-6/07/2022","02",0,,"Other Fixed Obstruction",,,,,,,,,,,,,
"2021-56-6/07/2022","01",0,"SA","Motor Cars - Sedan","2002","South","Male","038","SA","MR","Full","Not Towing","Straight Ahead","001","5120",,
"2021-56-6/07/2022","02",0,,"Tree",,,,,,,,,,,,,
"2021-57-6/07/2022","01",0,"SA","Utility","1999","North West","Male","048","VIC","MCR ","Full","Trailer","Straight Ahead","002","3292",,
"2021-57-6/07/2022","02",1,"SA","Utility","2006","North East","Male","067","SA","HR","Full","Not Towing","Straight Ahead","001","5159",,
"2021-58-6/07/2022","01",1,"SA","Motor Cars - Sedan","2008","South West","Female","036","SA","C ","Full","Not Towing","Straight Ahead","001","5095",,
"2021-58-6/07/2022","02",0,"SA","Station Wagon","2004","North West","Female","034","SA","C ","Full","Not Towing","Right Turn","001","5095",,
"2021-58-6/07/2022","03",0,"SA","Motor Cars - Sedan","2006","North",,,,,,"Unknown","Parked","000",,,
"2021-59-6/07/2022","01",0,"SA","Station Wagon","2005","East","Male","062","SA","HC","Full","Not Towing","Right Turn","001","5110",,
"2021-59-6/07/2022","02",1,"SA","Motor Cars - Sedan","2004","West","Female","029","SA","C ","Full","Not Towing","Straight Ahead","001","5098",,
"2021-60-6/07/2022","01",1,"NSW","Motor Cars - Sedan","XXXX","North West","Female","018","NSW","C ","Provisional 2","Not Towing","Straight Ahead","001","2073","Y",
"2021-61-6/07/2022","01",0,"SA","Motor Cars - Sedan","1999","North","Male","058","SA","C ","Full","Not Towing","Straight Ahead","001","5062",,
"2021-61-6/07/2022","02",0,"SA","Station Wagon","2003","North","Female","017","SA","C ","Provisional 1 ","Not Towing","Straight Ahead","001","5107",,
"2021-62-6/07/2022","01",1,"SA","Station Wagon","2014","West","Female","072","SA","C ","Full","Not Towing","Stopped on Carriageway","001","5043",,
"2021-62-6/07/2022","02",0,"SA","Utility","2009","West","Male","038","SA","C ","Full","Not Towing","Left Turn","002","5084",,
"2021-63-6/07/2022","01",1,,"Pedestrian on Footpath/Carpark",,"South","Male","004",,,,,"Walking on Footpath",,"5031",,
"2021-63-6/07/2022","02",0,,"Pedal Cycle",,"West","Male","069",,,,,"Straight Ahead","001","5000",,
"2021-64-6/07/2022","01",0,"SA","Utility","2017","West","Male","065","SA","C ","Full","Not Towing","Straight Ahead","001","5009",,
"2021-64-6/07/2022","02",0,"SA","Station Wagon","2015","North","Male","028","SA","C ","Full","Not Towing","Right Turn","001","5039",,
"2021-65-6/07/2022","01",0,"SA","Station Wagon","2019","South","Male","042","SA","C ","Full","Not Towing","Stopped on Carriageway","004","5063",,
"2021-65-6/07/2022","02",0,,"Pedal Cycle",,"West","Male","016",,,,,"Straight Ahead","001","5069",,
"2021-66-6/07/2022","01",1,"SA","Motor Cars - Sedan","2007","North","Female","027","SA","C ","Full","Not Towing","Left Turn","003","5112",,
"2021-66-6/07/2022","02",0,,"Pole - not Stobie",,,,,,,,,,,,,
"2021-67-6/07/2022","01",1,"SA","Motor Cars - Sedan","2002","North West","Male","030","SA","C ","Full","Not Towing","Straight Ahead","001","5412","Y",
"2021-67-6/07/2022","02",0,,"Other Fixed Obstruction",,,,,,,,,,,,,
"2021-67-6/07/2022","03",0,,"Tree",,,,,,,,,,,,,
"2021-68-6/07/2022","01",0,"SA","Station Wagon","2005","South East","Female","051","SA","C ","Full","Not Towing","Overtaking - on Right","001","5113",,
"2021-68-6/07/2022","02",0,"SA","Utility","1985","South East","Male","060","SA","C ","Full","Not Towing","U Turn","001","5112",,
"2021-69-6/07/2022","01",0,"SA","Motor Cars - Sedan","2014","North","Male","023","SA","MCR ","Full","Not Towing","Swerving","001","5510","Y",
"2021-70-6/07/2022","01",0,"SA","Motor Cars - Sedan","2007","South","Male","054","SA","C ","Full","Not Towing","Stopped on Carriageway","001","5086",,
"2021-70-6/07/2022","02",0,"SA","Station Wagon","2008","South","Male","079","SA","LR","Full","Trailer","Straight Ahead","002","5461",,
"2021-71-6/07/2022","01",0,"SA","Motor Cars - Sedan","2006","North","Female","029","SA","C ","Full","Not Towing","Straight Ahead","001","5032",,
