"REPORT_ID","Unit No","No Of Cas","Veh Reg State","Unit Type","Veh Year","Direction Of Travel","Sex","Age","Lic State","Licence Class","Licence Type","Towing","Unit Movement","Number Occupants","Postcode","Rollover","Fire"
"2021-2636-6/07/2022","02",0,"SA","Motor Cars - Sedan","2011","South West","Female","065","SA","C ","Full","Not Towing","Straight Ahead","003","5009",,
"2021-2637-6/07/2022","01",0,"SA","Utility","2004","South East","Male","037","SA","MR","Unlicenced","Not Towing","Straight Ahead","001","5163",,
"2021-2637-6/07/2022","02",1,"SA","Motor Cars - Sedan","2008","South East","Male","074","SA","LRR ","Full","Not Towing","Stopped on Carriageway","002","5330",,
"2021-2637-6/07/2022","03",0,"SA","Motor Cars - Sedan","2014","South East","Male","029","SA","C ","Full","Not Towing","Stopped on Carriageway","002","5108",,
"2021-2638-6/07/2022","01",0,"SA","Motor Cars - Sedan","2005","East","Male","032","SA","C ","Full","Not Towing","Right Turn","001","5074",,
"2021-2638-6/07/2022","02",0,,"Stobie Pole",,,,,,,,,,,,,
"2021-2639-6/07/2022","01",0,"SA","Motor Cars - Sedan","2007","West","Female","033","SA","C ","Full","Not Towing","Left Turn","001","5073",,
"2021-2639-6/07/2022","02",0,,"Sign Post",,,,,,,,,,,,,
"2021-2640-6/07/2022","01",0,"SA","Utility","2001","East","Male","021","SA","C ","Provisional 2","Not Towing","Straight Ahead","001","5250",,
"2021-2640-6/07/2022","02",0,"SA","Motor Cars - Sedan","2014","East",,,,,,"Unknown","Parked","000",,,
"2021-2641-6/07/2022","01",0,"SA","Station Wagon","2011","North West","Female","050","SA","C ","Full","Not Towing","Stopped on Carriageway","004","5235",,
"2021-2641-6/07/2022","02",0,"SA","Station Wagon","2015","North West","Female","038","SA","C ","Full","Not Towing","Right Turn","001","5023",,
"2021-2642-6/07/2022","01",1,"SA","Motor Cars - Sedan","2020","North","Female","026","SA","C ","Full","Not Towing","Swerving","001","5086",,
"2021-2642-6/07/2022","02",0,"SA","Motor Cars - Sedan","2019","North","Male","033","SA","C ","Full","Not Towing","Stopped on Carriageway","002","5072",,
"2021-2642-6/07/2022","03",0,"SA","Motor Cars - Sedan","2010","North","Female","062","SA","C ","Full","Not Towing","Stopped on Carriageway","001","5097",,
"2021-2642-6/07/2022","04",0,"SA","Utility","2020","North","Male","042","SA","MR","Full","Not Towing","Stopped on Carriageway","001","5245",,
"2021-2643-6/07/2022","01",0,"SA","Motor Cars - Sedan","2011","South","Female","025","SA","C ","Full","Not Towing","Left Turn","001","5084",,
"2021-2643-6/07/2022","02",1,,"Pedal Cycle",,"West","Male","008",,,,,"Straight Ahead","001","5084",,
"2021-2644-6/07/2022","01",0,"SA","Motor Cars - Sedan","2010","South East","Male","030","SA","HR","Full","Not Towing","Left Turn","001","5114",,
"2021-2644-6/07/2022","02",0,,"Pedestrian on Road",,"South West","Male","018",,,,,"Walking on Road",,"5114",,
"2021-2645-6/07/2022","01",1,"SA","Motor Cars - Sedan","2009","South West","Female","059","SA","C ","Full","Not Towing","Straight Ahead","001","5048",,
"2021-2645-6/07/2022","02",1,"SA","Station Wagon","1998","North East","Male","023","SA","C ","Full","Not Towing","Straight Ahead","002","5092",,
"2021-2646-6/07/2022","01",0,"SA","Motor Cars - Sedan","2000","East","Male","024","SA","C ","Provisional 1 ","Not Towing","Right Turn","001","5501",,
"2021-2646-6/07/2022","02",0,"SA","Motor Cars - Sedan","2002","East","Male","023","SA","XX","Unlicenced","Not Towing","Overtaking - on Right","003","5502",,
"2021-2647-6/07/2022","01",2,"SA","Motor Cars - Sedan","2001","North East","Female","020","SA","C ","Full","Not Towing","Straight Ahead","002","5114",,
"2021-2647-6/07/2022","02",0,"SA","Station Wagon","2001","North East","Male","051","SA","C ","Full","Not Towing","U Turn","001","5115",,
"2021-2648-6/07/2022","01",1,"SA","Motor Cars - Sedan","2020","North","Male","023","SA","C ","Full","Not Towing","Straight Ahead","001","5066","Y",
"2021-2648-6/07/2022","02",0,,"Other Fixed Obstruction",,,,,,,,,,,,,
"2021-2649-6/07/2022","01",1,"SA","Motor Cars - Sedan","2008","South West","Male","019","SA","C ","Provisional 1 ","Not Towing","Straight Ahead","002","5051",,
"2021-2649-6/07/2022","02",0,,"Guard Rail",,,,,,,,,,,,,
"2021-2649-6/07/2022","03",0,,"Other Fixed Obstruction",,,,,,,,,,,,,
"2021-2650-6/07/2022","01",1,"SA","Motor Cars - Sedan","2004","South West","Male","027","SA","C ","Full","Not Towing","Straight Ahead","001","5095",,
"2021-2650-6/07/2022","02",0,,"Traffic Signal Pole",,,,,,,,,,,,,
"2021-2651-6/07/2022","01",1,"SA","Utility","2006","South East","Male","040","SA","MR","Full","Not Towing","Overtaking - on Right","001","5108",,
"2021-2651-6/07/2022","02",1,"SA","Station Wagon","2020","North West","Female","056","SA","C ","Full","Not Towing","Straight Ahead","001","5108",,
"2021-2652-6/07/2022","01",0,"SA","Motor Cars - Sedan","2004","South","Female","071","SA","C ","Full","Not Towing","Right Turn","001","5043",,
"2021-2652-6/07/2022","02",0,"SA","Station Wagon","2012","East","Female","043","SA","C ","Full","Not Towing","Straight Ahead","003","5043",,
"2021-2653-6/07/2022","01",0,"SA","Motor Cars - Sedan","2011","East","Male","051","SA","HR","Full","Not Towing","Stopped on Carriageway","001","5096",,
"2021-2653-6/07/2022","02",0,"SA","Motor Cars - Sedan","2009","East","Female","020","SA","C ","Provisional 1 ","Not Towing","Straight Ahead","001","5109",,
"2021-2654-6/07/2022","01",0,"SA","Motor Cars - Sedan","2012","North East",,,,,,"Not Towing","Parked","000",,,
"2021-2654-6/07/2022","02",0,"SA","Motor Cars - Sedan","2018","North East","Female","021","SA","C ","Full","Not Towing","Straight Ahead","001","5109",,
"2021-2655-6/07/2022","01",0,"SA","Motor Cars - Sedan","2008","North East","Male","066","SA","C ","Full","Not Towing","Right Turn","001","5070",,
"2021-2655-6/07/2022","02",0,,"Traffic Signal Pole",,,,,,,,,,,,,
"2021-2656-6/07/2022","01",1,"SA","Motor Cars - Sedan","2017","South","Female","043","SA","C ","Full","Not Towing","Stopped on Carriageway","001","5065",,
"2021-2656-6/07/2022","02",0,"SA","Motor Cars - Sedan","2009","South","Unknown","XXX","UNKNOWN","XX","Unknown","Unknown","Straight Ahead","001","XXXX",,
"2021-2657-6/07/2022","01",1,,"Pedal Cycle",,"West","Male","045",,,,,"Straight Ahead","001","5000",,
"2021-2658-6/07/2022","01",0,"SA","Motor Cars - Sedan","2007","North West","Female","057","SA","C ","Full","Not Towing","Stopped on Carriageway","002","5110",,
"2021-2658-6/07/2022","02",0,"SA","Motor Cars - Sedan","2003","North West","Male","057","SA","HR","Full","Not Towing","Straight Ahead","001","5108",,
"2021-2659-6/07/2022","01",0,"SA","SEMI TRAILER","2019","East","Male","063","SA","HCR ","Full","Not Towing","Parked","001","5126",,
"2021-2659-6/07/2022","02",0,"SA","Motor Cars - Sedan","2004","East","Male","025","O/S","C R ","Full","Not Towing","Leaving Private Driveway","001","5065",,
"2021-2660-6/07/2022","01",1,"SA","Utility","2016","West","Male","024","SA","C R ","Full","Not Towing","Straight Ahead","001","5431",,
"2021-2660-6/07/2022","02",0,,"Tree",,,,,,,,,,,,,
"2021-2661-6/07/2022","01",1,"SA","Motor Cars - Sedan","1998","North","Male","057","SA","HR","Full","Not Towing","Stopped on Carriageway","001","5241",,
"2021-2661-6/07/2022","02",0,"SA","Station Wagon","2004","North","Male","017","SA","C ","Provisional 1 ","Not Towing","Left Turn","001","5075",,
"2021-2662-6/07/2022","01",1,"SA","Motor Cars - Sedan","2008","North East","Male","091","SA","C ","Full","Not Towing","Right Turn","001","5271",,
"2021-2662-6/07/2022","02",0,"VIC","OMNIBUS","2012","North West","Male","042","VIC","HR","Full","Not Towing","Straight Ahead","046","5114",,
"2021-2663-6/07/2022","01",0,"SA","Motor Cars - Sedan","2016","North East","Female","026","SA","HR","Full","Not Towing","Right Turn","001","5023",,
"2021-2663-6/07/2022","02",0,"SA","Station Wagon","2010","North West","Male","053","SA","C ","Full","Not Towing","Straight Ahead","001","5013",,
"2021-2664-6/07/2022","01",1,"SA","Motor Cars - Sedan","2009","South East","Male","028","SA","C ","Provisional 2","Not Towing","Straight Ahead","001","5163",,
"2021-2664-6/07/2022","02",0,"SA","Station Wagon","2010","South East","Female","045","SA","C ","Full","Not Towing","Straight Ahead","002","5015",,
"2021-2665-6/07/2022","01",0,"SA","Motor Cars - Sedan","2015","South","Female","080","SA","C ","Full","Not Towing","Straight Ahead","001","5251",,
"2021-2665-6/07/2022","02",0,"SA","Motor Cars - Sedan","2007","East","Male","041","SA","C ","Probationary","Not Towing","Leaving Private Driveway","001","5159",,
"2021-2666-6/07/2022","01",0,"SA","Motor Cars - Sedan","2012","South East","Female","018","SA","C ","Provisional 2","Not Towing","Straight Ahead","001","5095",,
"2021-2666-6/07/2022","02",0,"SA","Motor Cars - Sedan","2008","North East","Female","073","SA","C ","Full","Not Towing","Right Turn","001","5110",,
"2021-2667-6/07/2022","01",0,"SA","Station Wagon","2014","North","Male","043","SA","C ","Full","Not Towing","Overtaking - on Right","001","5041",,
"2021-2667-6/07/2022","02",0,"VIC","Station Wagon","2004","North","Female","047","VIC","C ","Full","Not Towing","U Turn","001","5045",,
"2021-2668-6/07/2022","01",0,"SA","Motor Cars - Sedan","2019","East","Male","092","SA","C ","Full","Not Towing","Straight Ahead","001","5600",,
"2021-2668-6/07/2022","02",0,"SA","Station Wagon","2002","South","Female","050","SA","HRR ","Full","Not Towing","Straight Ahead","001","5608",,
"2021-2669-6/07/2022","01",1,"SA","Station Wagon","2003","East","Male","055","SA","C ","Full","Not Towing","Stopped on Carriageway","001","5065",,
"2021-2669-6/07/2022","02",0,"SA","Motor Cars - Sedan","2010","East","Male","022","SA","C R ","Full","Not Towing","Straight Ahead","001","5125",,
"2021-2670-6/07/2022","01",0,"SA","Station Wagon","2020","West","Female","060","SA","C ","Full","Not Towing","Left Turn","002","5120",,
"2021-2670-6/07/2022","02",0,"SA","SEMI TRAILER","2016","South","Male","031","SA","MC","Full","Trailer","Straight Ahead","001","5084",,
"2021-2671-6/07/2022","01",1,"SA","Station Wagon","2007","South East","Female","051","SA","C ","Full","Not Towing","Straight Ahead","002","5086",,
"2021-2671-6/07/2022","02",0,"SA","Panel Van","2009","South West","Male","040","SA","C RD","Full","Not Towing","Straight Ahead","003","5070",,
"2021-2672-6/07/2022","01",0,"SA","Utility","2020","East","Male","027","SA","LR","Full","Not Towing","Right Turn","001","5048",,
"2021-2672-6/07/2022","02",0,"SA","Station Wagon","2014","North","Male","054","SA","MR","Full","Not Towing","Straight Ahead","001","5049",,
"2021-2673-6/07/2022","01",0,"SA","Motor Cars - Sedan","2013","North","Female","061","SA","C ","Full","Not Towing","Straight Ahead","001","5253",,
"2021-2673-6/07/2022","02",0,"SA","SEMI TRAILER","2004","North","Male","061","SA","MCR ","Full","Trailer","Straight Ahead","001","5570",,
"2021-2673-6/07/2022","03",0,,"Other Inanimate Object",,,,,,,,,,,,,
"2021-2674-6/07/2022","01",0,"SA","Station Wagon","2003","North","Female","052","SA","C ","Full","Not Towing","Straight Ahead","001","5025",,
"2021-2674-6/07/2022","02",0,"SA","Utility","2016","North","Male","048","SA","C ","Full","Not Towing","Stopped on Carriageway","001","5108",,
"2021-2675-6/07/2022","01",0,"SA","Station Wagon","2003","North",,,,,,"Not Towing","Parked","000",,,
"2021-2675-6/07/2022","02",0,"SA","RIGID TRUCK LGE GE 4.5T","2003","North","Male","039","SA","HR","Full","Not Towing","Straight Ahead","001","5086",,
"2021-2676-6/07/2022","01",0,"SA","Motor Cars - Sedan","2018","South West","Male","046","SA","C ","Full","Not Towing","Straight Ahead","002","5046",,
"2021-2676-6/07/2022","02",0,"UNKNOWN","RIGID TRUCK LGE GE 4.5T","XXXX","South West","Male","024","SA","HCR ","Full","Trailer","Swerving","001","5254",,
"2021-2677-6/07/2022","01",0,"SA","Station Wagon","2015","North East","Female","038","SA","C ","Full","Not Towing","Stopped on Carriageway","002","5159",,
"2021-2677-6/07/2022","02",0,"SA","RIGID TRUCK LGE GE 4.5T","2007","North East","Male","029","SA","HR","Unlicenced","Not Towing","Swerving","001","5081",,
"2021-2678-6/07/2022","01",0,"SA","Station Wagon","2008","South","Female","018","SA","C ","Provisional 2","Not Towing","Straight Ahead","001","5062",,
"2021-2678-6/07/2022","02",1,"QLD","Motor Cars - Sedan","2018","South","Female","053","SA","C ","Full","Not Towing","Stopped on Carriageway","001","5000",,
"2021-2678-6/07/2022","03",0,"VIC","Motor Cars - Sedan","2010","South","Male","023","SA","C ","Full","Not Towing","Stopped on Carriageway","001","5085",,
"2021-2678-6/07/2022","04",1,"SA","Station Wagon","2010","South","Male","042","SA","C R ","Full","Not Towing","Stopped on Carriageway","002","5012",,
"2021-2679-6/07/2022","01",0,"SA","Motor Cars - Sedan","2018","South","Male","045","SA","C ","Full","Not Towing","Stopped on Carriageway","001","5162",,
"2021-2679-6/07/2022","02",0,"UNKNOWN","SEMI TRAILER","XXXX","South","Unknown","XXX","UNKNOWN","XX","Unknown","Unknown","Straight Ahead","001","XXXX",,
"2021-2680-6/07/2022","01",1,"SA","Motor Cycle","2010","West","Male","047","SA","C R ","Full","Not Towing","Straight Ahead","001","5032",,
"2021-2680-6/07/2022","02",0,"SA","Motor Cars - Sedan","2013","East","Male","072","SA","HRR ","Full","Not Towing","Right Turn","003","5022",,
"2021-2681-6/07/2022","01",0,"SA","Motor Cars - Sedan","2016","East","Female","033","SA","C ","Full","Not Towing","Straight Ahead","004","5085",,
"2021-2681-6/07/2022","02",0,"SA","Motor Cars - Sedan","2019","South","Female","022","SA","C ","Provisional 2","Not Towing","Right Turn","001","5085",,
"2021-2682-6/07/2022","01",0,"SA","Station Wagon","2020","North","Female","058","SA","C ","Full","Not Towing","Stopped on Carriageway","001","5025",,
"2021-2682-6/07/2022","02",0,,"Pedal Cycle",,"East","Unknown","XXX",,,,,"Straight Ahead","001","XXXX",,
"2021-2683-6/07/2022","01",0,"SA","Motor Cars - Sedan","2008","South West","Male","020","SA","C ","Provisional 2","Not Towing","Straight Ahead","001","5244",,
"2021-2683-6/07/2022","02",0,,"Other Fixed Obstruction",,,,,,,,,,,,,
"2021-2684-6/07/2022","01",0,"SA","OMNIBUS","2018","South East","Male","033","SA","HR","Full","Not Towing","Swerving","001","5251",,
"2021-2684-6/07/2022","02",0,"SA","Motor Cars - Sedan","2017","South East","Female","032","SA","C ","Full","Not Towing","Stopped on Carriageway","001","5256",,
"2021-2684-6/07/2022","03",0,"SA","Station Wagon","2018","South East","Female","032","SA","C ","Full","Not Towing","Stopped on Carriageway","001","5252",,
"2021-2685-6/07/2022","01",0,"SA","RIGID TRUCK LGE GE 4.5T","2018","South","Male","050","SA","HC","Full","Trailer","Straight Ahead","002","5501","Y",
"2021-2686-6/07/2022","01",0,"SA","Motor Cars - Sedan","2013","North","Female","020","SA","C ","Full","Not Towing","Straight Ahead","002","5068",,
"2021-2686-6/07/2022","02",0,,"Stobie Pole",,,,,,,,,,,,,
"2021-2687-6/07/2022","01",0,"SA","Utility","2008","West","Male","039","SA","C ","Full","Not Towing","Straight Ahead","001","5501","Y",
"2021-2687-6/07/2022","02",0,,"Tree",,,,,,,,,,,,,
"2021-2688-6/07/2022","01",0,"SA","Station Wagon","2008","North East","Female","046","SA","C ","Full","Not Towing","Right Turn","001","5107",,
"2021-2688-6/07/2022","02",0,"SA","Motor Cars - Sedan","2008","South West","Female","029","SA","C ","Full","Not Towing","Straight Ahead","001","5096",,
"2021-2689-6/07/2022","01",0,"SA","Utility","2004","West","Male","051","SA","C R ","Full","Not Towing","Right Turn","001","5042",,
"2021-2689-6/07/2022","02",1,,"Pedal Cycle",,"East","Male","026",,,,,"Straight Ahead","001","5022",,
"2021-2690-6/07/2022","01",0,"SA","Station Wagon","1993","North West","Female","055","SA","C ","Full","Not Towing","Straight Ahead","001","5108",,
"2021-2690-6/07/2022","02",1,,"Pedestrian on Road",,"South West","Female","010",,,,,"Crossing without Control",,"5108",,
"2021-2691-6/07/2022","01",0,"SA","Station Wagon","1988","East","Male","047","SA","C R ","Full","Not Towing","Stopped on Carriageway","001","5048",,
"2021-2691-6/07/2022","02",0,"SA","OMNIBUS","2003","East","Male","028","SA","HR","Full","Not Towing","Swerving","020","5114",,
"2021-2692-6/07/2022","01",0,"SA","Station Wagon","2019","South West","Female","028","SA","C ","Full","Not Towing","Stopped on Carriageway","001","5091",,
"2021-2692-6/07/2022","02",0,"SA","Motor Cars - Sedan","2013","South West","Female","033","SA","C ","Full","Not Towing","Straight Ahead","001","5091",,
"2021-2693-6/07/2022","01",1,,"Pedal Cycle",,"North East","Male","033",,,,,"Straight Ahead","001","5087",,
"2021-2693-6/07/2022","02",0,"SA","Motor Cars - Sedan","2018","South East","Female","043","SA","C ","Full","Not Towing","Left Turn","001","5070",,
"2021-2694-6/07/2022","01",1,"SA","Utility","2007","South East","Male","056","VIC","C R ","Full","Not Towing","Straight Ahead","001","3500",,
"2021-2694-6/07/2022","02",0,,"Tree",,,,,,,,,,,,,
"2021-2695-6/07/2022","01",0,"SA","Panel Van","2012","North East","Female","041","SA","C ","Full","Not Towing","Straight Ahead","001","5332",,
"2021-2695-6/07/2022","02",0,"UNKNOWN","RIGID TRUCK LGE GE 4.5T","XXXX","North East","Unknown","XXX","UNKNOWN","XX","Unknown","Unknown","Straight Ahead","001","XXXX",,
"2021-2695-6/07/2022","03",0,,"Other Inanimate Object",,,,,,,,,,,,,
"2021-2696-6/07/2022","01",0,"SA","Motor Cars - Sedan","2009","West","Male","038","SA","C ","Full","Not Towing","Parked","001","5159",,
"2021-2696-6/07/2022","02",0,"SA","Motor Cars - Sedan","2008","West","Female","064","SA","C ","Full","Not Towing","U Turn","001","5159",,
"2021-2697-6/07/2022","01",0,"SA","Station Wagon","2018","South West","Male","070","SA","C ","Full","Not Towing","Straight Ahead","001","5125",,
"2021-2697-6/07/2022","02",0,"SA","Utility","2017","South West","Male","039","SA","HC","Full","Trailer","Swerving","001","5173",,
"2021-2698-6/07/2022","01",0,"SA","Motor Cars - Sedan","2008","South East","Male","017","SA","C ","Provisional 1 ","Not Towing","Straight Ahead","001","5290",,
"2021-2698-6/07/2022","02",0,,"Animal - Wild",,,,,,,,,,,,,
"2021-2698-6/07/2022","03",0,,"Other Fixed Obstruction",,,,,,,,,,,,,
"2021-2699-6/07/2022","01",2,"SA","Motor Cars - Sedan","2016","South","Female","061","SA","C ","Full","Not Towing","Straight Ahead","002","5163",,
"2021-2699-6/07/2022","02",0,"SA","Motor Cars - Sedan","1997","South","Female","027","SA","C ","Provisional 1 ","Not Towing","Straight Ahead","001","5169",,
"2021-2700-6/07/2022","01",0,"SA","Motor Cars - Sedan","2005","South West","Female","045","SA","C ","Full","Not Towing","Straight Ahead","001","5251",,
"2021-2700-6/07/2022","02",0,"SA","Motor Cars - Sedan","2003","North East","Female","064","SA","C ","Full","Not Towing","Right Turn","001","5251",,
"2021-2701-6/07/2022","01",1,"SA","Motor Cars - Sedan","2000","West","Female","035","SA","C ","Full","Not Towing","Right Turn","001","5023",,
"2021-2701-6/07/2022","02",2,"SA","Station Wagon","2018","East","Female","056","SA","C ","Full","Not Towing","Straight Ahead","003","5251",,
"2021-2702-6/07/2022","01",1,"SA","Station Wagon","2017","South East","Male","019","SA","C ","Provisional 2","Not Towing","Stopped on Carriageway","002","5125",,
"2021-2702-6/07/2022","02",0,"SA","Station Wagon","2001","South East","Male","046","SA","C R ","Full","Not Towing","Straight Ahead","001","5087",,
"2021-2702-6/07/2022","03",0,,"Pole - not Stobie",,,,,,,,,,,,,
"2021-2703-6/07/2022","01",0,"SA","Motor Cars - Sedan","2007","South West","Female","060","SA","C ","Full","Not Towing","Straight Ahead","001","5158",,
"2021-2703-6/07/2022","02",0,"SA","Station Wagon","2015","South East","Female","061","SA","C ","Full","Not Towing","Right Turn","001","5158",,
"2021-2704-6/07/2022","01",1,"SA","Utility","2011","South","Male","027","SA","C ","Unlicenced","Not Towing","Straight Ahead","001","5031",,
"2021-2704-6/07/2022","02",0,"SA","Station Wagon","2020","North",,,,,,"Not Towing","Parked","000",,,
"2021-2705-6/07/2022","01",1,"SA","Motor Cycle","2019","North","Male","028","SA","C RD","Full","Not Towing","Straight Ahead","001","5153","Y",
"2021-2705-6/07/2022","02",0,,"Tree",,,,,,,,,,,,,
"2021-2706-6/07/2022","01",0,"SA","Motor Cycle","2021","North","Female","054","SA","C R ","Full","Not Towing","Straight Ahead","001","5540","Y",
"2021-2707-6/07/2022","01",0,"SA","Motor Cars - Sedan","2017","East","Female","042","SA","C ","Full","Not Towing","Entering Private Driveway","002","5073",,
"2021-2707-6/07/2022","02",0,,"Pedal Cycle",,"West","Unknown","XXX",,,,,"Straight Ahead","001","XXXX",,
"2021-2708-6/07/2022","01",2,"SA","Station Wagon","2020","North","Female","077","SA","C ","Full","Not Towing","Straight Ahead","002","5433",,
"2021-2709-6/07/2022","01",0,"SA","Motor Cars - Sedan","2009","East","Female","026","SA","C ","Provisional 1 ","Not Towing","Straight Ahead","002","5048",,
"2021-2709-6/07/2022","02",0,"SA","Station Wagon","2013","West","Female","021","SA","C ","Full","Not Towing","Right Turn","001","5041",,
"2021-2710-6/07/2022","01",0,"SA","Motor Cars - Sedan","2012","South West","Female","024","SA","C ","Full","Not Towing","Swerving","003","5118",,
"2021-2710-6/07/2022","02",0,"SA","Station Wagon","2018","South West","Male","045","SA","HR","Full","Not Towing","Straight Ahead","001","5024",,
"2021-2710-6/07/2022","03",0,"SA","Station Wagon","2019","South West","Male","018","SA","C ","Provisional 2","Not Towing","Stopped on Carriageway","001","5116",,
"2021-2711-6/07/2022","01",0,"SA","Motor Cars - Sedan","2016","West","Female","051","SA","C ","Full","Not Towing","Stopped on Carriageway","001","5011",,
"2021-2711-6/07/2022","02",0,"SA","SEMI TRAILER","2019","West","Male","041","SA","HC","Full","Not Towing","Straight Ahead","001","5088",,
"2021-2712-6/07/2022","01",0,"SA","Station Wagon","2016","East","Male","043","SA","C ","Full","Not Towing","Reversing","002","5052",,
"2021-2712-6/07/2022","02",0,"SA","Motor Cycle","2018","East",,,,,,"Unknown","Parked","000",,,
"2021-2713-6/07/2022","01",1,"SA","Utility","2017","North West","Male","037","SA","MRR ","Full","Not Towing","Straight Ahead","001","5016",,
"2021-2713-6/07/2022","02",0,"SA","Motor Cars - Sedan","2009","North West",,,,,,"Unknown","Parked","000",,,
"2021-2714-6/07/2022","01",0,"SA","Motor Cars - Sedan","1995","East","Male","026","SA","C ","Full","Not Towing","Straight Ahead","001","5112",,
"2021-2714-6/07/2022","02",0,"SA","Station Wagon","2009","West","Male","032","SA","C ","Full","Not Towing","U Turn","001","5043",,
"2021-2715-6/07/2022","01",0,"SA","Utility","2006","South East","Male","018","SA","C ","Provisional 2","Not Towing","Straight Ahead","001","5041",,
"2021-2715-6/07/2022","02",0,"SA","Station Wagon","1996","South East","Female","073","SA","C ","Full","Not Towing","Straight Ahead","001","5211",,
"2021-2715-6/07/2022","03",0,"SA","Station Wagon","2004","South East","Male","084","SA","C ","Full","Not Towing","Straight Ahead","001","5211",,
"2021-2716-6/07/2022","01",0,"SA","Utility","2017","South",,,,,,"Not Towing","Parked","000",,,
"2021-2716-6/07/2022","02",0,"UNKNOWN","RIGID TRUCK LGE GE 4.5T","XXXX","South","Unknown","XXX","UNKNOWN","XX","Unknown","Unknown","Straight Ahead","001","XXXX",,
"2021-2717-6/07/2022","01",0,"SA","Motor Cycle","2021","East","Male","030","SA","MRR ","Full","Not Towing","Straight Ahead","001","5097",,
"2021-2717-6/07/2022","02",0,,"Pole - not Stobie",,,,,,,,,,,,,
"2021-2718-6/07/2022","01",0,"SA","Station Wagon","2010","South","Male","040","SA","C ","Full","Not Towing","Straight Ahead","002","5168",,
"2021-2718-6/07/2022","02",0,"UNKNOWN","Motor Vehicle - Type Unknown","XXXX","South","Unknown","XXX","UNKNOWN","XX","Unknown","Unknown","Stopped on Carriageway","001","XXXX",,
"2021-2719-6/07/2022","01",1,"SA","Motor Cars - Sedan","2018","South West","Male","063","SA","MC","Full","Not Towing","Straight Ahead","001","5242",,
"2021-2719-6/07/2022","02",0,,"Tree",,,,,,,,,,,,,
"2021-2719-6/07/2022","03",0,,"Tree",,,,,,,,,,,,,
"2021-2720-6/07/2022","01",1,"SA","Station Wagon","2009","South West","Female","048","SA","C ","Full","Not Towing","Entering Private Driveway","001","5108",,
"2021-2720-6/07/2022","02",0,,"Tree",,,,,,,,,,,,,
"2021-2721-6/07/2022","01",0,"SA","Motor Cars - Sedan","2006","East","Male","030","SA","C R ","Full","Not Towing","Right Turn","001","5031",,
"2021-2721-6/07/2022","02",0,"SA","Station Wagon","2003","West","Male","020","SA","C ","Provisional 1 ","Not Towing","Straight Ahead","002","5113",,
"2021-2722-6/07/2022","01",0,"SA","Motor Cars - Sedan","2019","North West","Male","035","SA","C ","Full","Not Towing","Stopped on Carriageway","001","5112",,
"2021-2722-6/07/2022","02",0,"UNKNOWN","Motor Cycle","XXXX","North West","Unknown","XXX","UNKNOWN","XX","Unknown","Unknown","Swerving","001","XXXX",,
"2021-2723-6/07/2022","01",1,"SA","Motor Cars - Sedan","2000","North East","Male","031","SA","C ","Full","Not Towing","Straight Ahead","002","5019",,
"2021-2723-6/07/2022","02",0,"SA","Panel Van","2008","North East",,,,,,"Unknown","Parked","000",,,
"2021-2724-6/07/2022","01",0,"VIC","BDOUBLE - ROAD TRAIN","2015","South","Male","029","VIC","MC","Full",,"Swerving","001","3756",,
"2021-2724-6/07/2022","02",0,"SA","Station Wagon","2003","South","Female","061","SA","C ","Full","Not Towing","Straight Ahead","001","5162",,
"2021-2725-6/07/2022","01",0,"SA","Motor Cars - Sedan","2005","South West","Male","019","SA","C ","Provisional 1 ","Not Towing","Stopped on Carriageway","001","5109",,
"2021-2725-6/07/2022","02",0,"UNKNOWN","Motor Cycle","XXXX","South West","Unknown","XXX","UNKNOWN","XX","Unknown","Unknown","Overtaking - on Left","001","XXXX",,
"2021-2726-6/07/2022","01",0,"SA","SEMI TRAILER","2018","South","Male","064","SA","MC","Full","Trailer","Straight Ahead","001","5048",,
"2021-2726-6/07/2022","02",0,,"Sign Post",,,,,,,,,,,,,
"2021-2726-6/07/2022","03",0,,"Pole - not Stobie",,,,,,,,,,,,,
"2021-2727-6/07/2022","01",0,"SA","Motor Cars - Sedan","2002","East","Female","029","SA","HR","Full","Not Towing","Leaving Private Driveway","001","5690",,
"2021-2727-6/07/2022","02",0,,"Motorised Wheelchair/Gopher",,"South","Unknown","XXX",,,,,"Walking on Footpath",,"XXXX",,
"2021-2728-6/07/2022","01",0,"SA","Station Wagon","2001","North","Male","019","SA","C ","Provisional 1 ","Not Towing","Straight Ahead","001","5162","Y",
"2021-2728-6/07/2022","02",0,,"Stobie Pole",,,,,,,,,,,,,
"2021-2729-6/07/2022","01",0,"SA","Motor Cars - Sedan","2016","South West","Male","021","SA","C R ","Full","Not Towing","Straight Ahead","001","5037",,
"2021-2729-6/07/2022","02",0,"SA","Motor Cars - Sedan","2015","West","Male","030","SA","C ","Unlicenced","Not Towing","Left Turn","001","5087",,
"2021-2730-6/07/2022","01",0,"SA","Motor Cars - Sedan","2005","North","Male","067","SA","C ","Full","Not Towing","Right Turn","002","5113",,
"2021-2730-6/07/2022","02",0,"SA","Station Wagon","2001","West","Male","052","SA","C ","Unlicenced","Not Towing","Straight Ahead","002","5031",,
"2021-2731-6/07/2022","01",0,"SA","Utility","2015","South","Male","021","SA","C ","Full","Not Towing","Straight Ahead","001","5085",,
"2021-2731-6/07/2022","02",0,,"Stobie Pole",,,,,,,,,,,,,
